post_id,title,category,timestamp
99,Thông tin lịch trình 4 trường hợp dương tính Covid-19 tại Quảng Nam ngày 11/8,64032474,1597288338
100,Các ca mắc Covid - 19 tại Quảng Nam từ ngày 25/7 - 13/8/2020,64032474,1597286472
101,Tăng cường kiểm soát biên giới,97295739,1597283962
102,"Bí thư Tỉnh ủy Phan Việt Cường thăm hỏi, tặng quà y bác sĩ Bệnh viện Đa khoa Trung ương Quảng Nam",24870418,1597283763
103,"Thông cáo báo chí số 79 về công tác phòng, chống dịch Covid-19 trên địa bàn tỉnh ( ngày 13/8/2020, lần 1)",64032474,1597282790
104,Hướng dẫn thực hiện dịch vụ công về BHXH đối với cá nhân,15590566,1597282097
105,Hội An tiếp tục cách ly xã hội,86988755,1597281440
106,"Hỗ trợ tiền ăn cho nhân dân khu vực phong tỏa cách ly trong phòng, chống dịch Covid-19",64032474,1597280441
107,"Thành lập 5.484 Tổ Giám sát và Tuyên truyền phòng, chống Covid-19 tại cộng đồng",64032474,1597279015
108,Bệnh viện Vĩnh Đức triển khai xét nghiệm Covid-19 bằng phương pháp Realtime-PCR,64032474,1597278682
109,"Thông cáo báo chí số 78 về công tác phòng, chống dịch Covid-19 trên địa bàn tỉnh Quảng Nam",64032474,1597239356
110,Thủ tướng Chính phủ Nguyễn Xuân Phúc làm việc trực tuyến với các địa phương đang xảy ra dịch Covid-19,64032474,1597235897
111,"Tạm dừng các hoạt động để phòng, chống dịch bệnh Covid-19",64032474,1597234876
112,Đẩy nhanh tiến độ hoàn thiện Đề án xây dựng chính quyền số giai đoạn 2021-2025,64032474,1597221461
113,"Công tác tuyên truyền phòng, chống dịch bệnh Covid-19 trên địa bàn tỉnh từ ngày 01/8 đến ngày 07/8/2020",12849472,1597219809
114,Báo cáo tình hình thực hiện nhiệm vụ phát triển kinh tế tư nhân trên địa bàn tỉnh,12849472,1597219351
115,Đề nghị điều chỉnh kế hoạch vốn CTMT ngân sách trung ương năm 2019 kéo dài sang năm 2020,12849472,1597218973
116,Ban hành Kế hoạch thi tuyển viên chức giáo viên năm 2020,64032474,1597218489
117,"Tiếp tục triển khai thực hiện phòng chống dịch bệnh Covid-19 tại các khu, cụm công nghiệp",86988755,1597217671
118,"Ủy ban MTTQ tỉnh tiếp nhận 1,4 tỷ đồng ủng hộ phòng, chống dịch Covid-19",64032474,1597217417
119,"Quy chế Quản lý, vận hành hệ thống quan trắc môi trường tự động, liên tục trên địa bàn tỉnh",86988755,1597207005
120,"Kế hoạch phòng ngừa, ứng phó sự cố tán phát hóa chất độc trên địa bàn tỉnh",86988755,1597206704
121,"Quy chế hoạt động của Ban Chỉ đạo phòng cháy, chữa cháy và cứu nạn, cứu hộ tỉnh",86988755,1597206360
122,"Tiếp tục đẩy mạnh tuyên truyền phòng, chống dịch Covid -19 trên địa bàn tỉnh",12849472,1597199488
123,"Từ ngày 25/7 - 11/8, Quảng Nam có 77 ca mắc Covid - 19",64032474,1597198740
124,Kết luận của Phó Chủ tịch UBND tỉnh Trần Văn Tân tại buổi làm việc với Trung tâm Kiểm soát bệnh tật tỉnh,86988755,1597192979
125,"UBND tỉnh chỉ đạo công tác phòng, chống dịch Covid-19 tại các doanh nghiệp",86988755,1597192524
126,Lịch trình 4 trường hợp dương tính Covid-19 tại Quảng Nam ngày 11/8,64032474,1597148719
127,"Thông cáo báo chí số 77 về công tác phòng, chống dịch Covid-19 trên địa bàn tỉnh Quảng Nam",64032474,1597148300
128,Đề xuất không thực hiện phân chia tuần suất đi chợ hàng ngày của người dân,64032474,1597138173
129,"Kỳ thi tốt nghiệp THPT diễn ra an toàn, nghiêm túc",12849472,1597137429
130,"Hơn 200 phóng viên, nhà báo có kết quả xét nghiệm âm tính với Covid-19",64032474,1597133155
131,"Từ 00h ngày 11/8, phong tỏa tạm thời khu vực có nguy cơ cao lây nhiễm Covid-19 trên địa bàn thành phố Tam Kỳ",64032474,1597117281
132,Tình hình thực hiện vay và trả nợ của địa phương 6 tháng đầu năm 2020,50596140,1597115349
133,Thành lập đội cơ động phản ứng nhanh phòng chống dịch bệnh Covid-19,64032474,1597114152
134,Hỗ trợ tiền ăn 40.000 đồng/ngày cho nhân dân khu vực phong tỏa do dịch bệnh Covid-19,64032474,1597111666
135,"Đã có 14,9 triệu lượt tải ứng dụng Bluezone",64032474,1597111254
136,"Tiếp tục triển khai ứng dụng truy vết Bluezone, khai báo y tế NCOVI",86988755,1597111004
137,Thông cáo đặc biệt về Lễ tang nguyên Tổng Bí thư Lê Khả Phiêu,64032474,1597106245
138,"Sáng 11/8, không có ca mắc mới COVID-19, nhiều bệnh nhân ở Đà Nẵng, Huế âm tính",64032474,1597106103
139,"Thêm 06 ca mắc mới Covid-19, trong đó có 01 ca bệnh tại Quảng Nam",64032474,1597066282
140,"Thư cảm ơn của đồng chí Phan Việt Cường - Ủy viên BCH Trung ương Đảng, Bí thư Tỉnh ủy",64032474,1597065247
141,"Thông cáo báo chí số 76 về công tác phòng, chống dịch Covid-19 trên địa bàn tỉnh Quảng Nam",64032474,1597063733
142,Ngày thi tốt nghiệp THPT thứ 2: Tiếp tục không có trường hợp vi phạm,64032474,1597048551
143,UBND tỉnh làm việc với Trung tâm Kiểm soát bệnh tật tỉnh,64032474,1597048496
144,"Tình hình KT-XH của UBND tỉnh tháng 7, 7 tháng năm 2020 và nhiệm vụ công tác trọng tâm tháng 8 năm 2020",97277504,1597045843
145,Chủ động ứng phó diễn biến của vùng áp thấp và thời tiết nguy hiểm trên biển,52517123,1597025344
146,"Đặt tên, điều chỉnh giới hạn một số đường",64032474,1597024972
147,Đề xuất định mức phân bổ vốn đầu tư công nguồn NSNN giai đoạn 2021-2025,64032474,1597021936
148,Đề xuất mới về cấp số định danh cá nhân cho công dân,94514795,1597021365
149,"Thủ tướng: Các địa phương phải bảo đảm đủ vật tư, sinh phẩm phục vụ xét nghiệm",64032474,1597021095
150,"Sáng nay 10/8, cả nước không ghi nhận ca mắc mới Covid-19",64032474,1597020836
151,Rà soát cấp giấy phép lao động cho người nước ngoài làm việc trên địa bàn tỉnh,86988755,1597020644
152,"Tiếp tục tăng cường công tác phòng, chống dịch bệnh Covid-19 trong tình hình mới",86988755,1597020320
153,Thông tin lịch trình 08 trường hợp dương tính Covid-19 mới tại Quảng Nam ngày 09/8/2020,64032474,1596978511
154,"Thông cáo báo chí số 75 về công tác phòng, chống dịch Covid-19 trên địa bàn tỉnh",64032474,1596977211
155,"Kết luận của Phó Chủ tịch UBND tỉnh Trần Văn Tân tại cuộc họp trực tuyến BCĐ cấp tỉnh phòng, chống dịch bệnh Covid-19 với các địa phương",64032474,1596971209
156,Đẩy mạnh thực hiện nghiêm Chỉ thị số 16/CT-TTg ngày 31/3/2020 của Thủ tướng Chính phủ,64032474,1596970724
157,"38 y, bác sĩ tỉnh Phú Thọ vào Quảng Nam hỗ trợ chống dịch Covid-19",64032474,1596958760
158,"Bí thư Tỉnh ủy Phan Việt Cường kiểm tra, động viên chiến sĩ làm nhiệm vụ phòng chống dịch Covid-19",24870418,1596958544
159,"UBND tỉnh họp Tiểu ban Giám sát phòng, chống dịch Covid-19",64032474,1596957751
160,"Bản tin về công tác Phòng, chống Covid-19 trên địa bàn thành phố Tam Kỳ (Cập nhật đến 10h00, ngày 09/8/2020)",44672880,1596956889
161,Thanh niên tiếp sức mùa thi,64032474,1596956045
162,Quảng Nam: Gần 7.500 thí sinh bước vào kỳ thi tốt nghiệp THPT năm 2020,64032474,1596946254
163,Bảo đảm an toàn giao thông trước diễn biến phức tạp của dịch bệnh,64032474,1596945060
164,Thông tin lịch trình 02 trường hợp dương tính Covid-19 mới tại Quảng Nam ngày 08/8/2020,64032474,1596892574
165,"Thông cáo báo chí số 74 về công tác phòng, chống dịch Covid-19 trên địa bàn tỉnh",64032474,1596892271
166,Phó Chủ tịch UBND tỉnh Trần Văn Tân làm việc với Tiểu Ban Điều trị dịch bệnh Covid-19,64032474,1596890151
167,BCĐ phòng chống dịch Covid-19 tỉnh họp trực tuyến với các địa phương về công tác phòng chống dịch,64032474,1596873998
168,"Tăng cường rà soát, quản lý các trường hợp đến Đà Nẵng từ ngày 01/7/2020 đã trở về địa phương",86988755,1596858783
169,Huy động hệ thống chính trị và toàn dân tham gia phòng chống dịch ở mức cao nhất,64032474,1596848633
170,Lịch trình 8 ca mắc Covid-19 mới ở Quảng Nam,64032474,1596807738
171,"Thông cáo báo chí số 73 về công tác phòng, chống dịch Covid-19 trên địa bàn tỉnh",64032474,1596807330
172,"Tuyên truyền, hướng dẫn cài đặt ứng dụng Bluezone, NCOVI trực tuyến",64032474,1596790802
173,"Triển khai cài đặt ứng dụng khai báo y tế NCOVI tại các điểm chốt chặn phòng, chống dịch bệnh Covid-19",86988755,1596790005
174,Ngày 9 và 10/8 diễn ra kỳ thi tốt nghiệp THPT: Nỗ lực vì một kỳ thi an toàn,64032474,1596783239
175,"Thủ tướng: Không được để thiếu thiết bị, sinh phẩm y tế chống dịch",64032474,1596782983
176,"Thông báo kết luận của Phó Chủ tịch UBND tỉnh Trần Văn Tân tại buổi làm việc với huyện Quế Sơn về công tác phòng, chống dịch Covid-19",86988755,1596768311
177,"Cuba tài trợ thuốc phòng chống Covid-19, sử dụng tại Quảng Nam, Đà Nẵng",64032474,1596767103
178,Tam Kỳ lấy mẫu xét nghiệm SARS-CoV-2 với F2 và người từ vùng dịch trở về,64032474,1596766127
179,Thực hiện các biện pháp bình ổn giá thịt lợn,86988755,1596764071
180,"Phát động cuộc thi “Đọc và tự học suốt đời theo tấm gương Chủ tịch Hồ Chí Minh"" dành cho người khiếm thị",64032474,1596763504
181,Một nhân sự tại Trạm thu phí Tam Kỳ xét nghiệm dương tính với Covid-19,64032474,1596762433
182,"Huy động nhân lực phòng, chống dịch bệnh Covid-19",86988755,1596760609
183,Lịch trình 6 ca mắc Covid-19 mới ở Quảng Nam,64032474,1596718238
184,"Thông cáo báo chí số 72 về công tác phòng, chống dịch Covid-19 trên địa bàn tỉnh",64032474,1596717244
185,"Từ 00h ngày 06/8, phong tỏa tạm thời khu vực có nguy cơ cao lây nhiễm Covid-19 trên địa bàn huyện Đại Lộc",86988755,1596705735
186,"Video clip tuyên truyền cho ngư dân, chủ tàu cá về IUU và quy định lao động trẻ em",37330725,1596704765
187,"Quế Sơn cần phát huy vai trò tổ giám sát, tuyên truyền phòng chống dịch tại cộng đồng",64032474,1596704299
188,Ban hành kế hoạch phát triển Giáo dục mầm non giai đoạn 2020-2025,86988755,1596699477
189,Tam Kỳ hỗ trợ khẩu trang y tế cho Sở Y tế Quảng Nam,44672880,1596686931
190,"Chỉ đạo của Phó Chủ tịch UBND tỉnh Trần Văn Tân tại buổi làm việc với Thăng Bình về công tác phòng, chống dịch bệnh Covid-19",86988755,1596680727
191,"Thêm 4 ca mắc Covid-19, 3 ca tại Quảng Nam",64032474,1596677368
192,"Thông cáo báo chí số 71 về công tác phòng, chống dịch Covid-19 trên địa bàn tỉnh",64032474,1596676331
193,Nâng cao năng lực xét nghiệm nCoV,64032474,1596675503
194,"Thị xã Điện Bàn thành lập 993 tổ “Giám sát và tuyên truyền phòng, chống Covid-19 tại cộng đồng”",44672880,1596674580
195,"Đẩy mạnh tuyên truyền, rà soát, nắm bắt, xử lý thông tin sai sự thật liên quan đến dịch bệnh Covid-19",12849472,1596674233
196,"Đến năm 2030, phấn đấu 80% trẻ em dưới 6 tuổi được sàng lọc sớm khuyết tật bẩm sinh",64032474,1596673909
197,"Chấn chỉnh những biểu hiện chủ quan, lơ là trong phòng, chống dịch Covid-19",86988755,1596673154
198,"Thông cáo báo chí số 68 về công tác phòng, chống dịch Covid-19 trên địa bàn tỉnh (lần 2)",64032474,1596631612
199,"UBND tỉnh làm việc với UBND huyện Thăng Bình về công tác phòng, chống dịch bệnh Covid-19",64032474,1596631291
200,Chính sách mới có hiệu lực từ tháng 8/2020,46921517,1596618790
201,Đường dây nóng tiếp nhận phản ánh và giải đáp  các vấn đề liên quan đến dịch bệnh Covid-19,95066713,1596614711
202,"Danh sách người phát ngôn của Ban Chỉ đạo về phòng, chống dịch bệnh Covid-19 cấp huyện",95066713,1596613171
203,UBND tỉnh họp phiên thường kỳ tháng 7,64032474,1596612422
204,Triển khai tổ chức Kỳ thi tốt nghiệp THPT trong tình hình dịch bệnh Covid-19 diễn biến phức tạp,86988755,1596608847
205,"Chi trả lương hưu, trợ cấp BHXH cả hai tháng 8 và 9",3996077,1596599013
206,Đề nghị quan tâm chỉ đạo hoạt động kỷ niệm 60 năm Thảm họa da cam ở Việt Nam,64239557,1596596437
207,"Thông cáo báo chí số 69 về công tác phòng, chống dịch Covid-19 trên địa bàn tỉnh",64032474,1596591351
208,"Đẩy mạnh phong trào toàn dân bảo vệ an ninh Tổ quốc trong cơ quan, doanh nghiệp, nhà trường trên địa bàn tỉnh",86988755,1596590844
209,UBND tỉnh công bố các quyết định về công tác cán bộ,64032474,1596590268
210,"Thêm 2 ca mắc mới COVID-19 ở Quảng Nam liên quan đến BV Đà Nẵng, Việt Nam có 672 ca",64032474,1596589196
211,CDC Quảng Nam được phép khẳng định các trường hợp SARS-CoV-2 dương tính,64032474,1596546100
212,"Thông cáo báo chí số 68 về công tác phòng, chống dịch Covid-19 trên địa bàn tỉnh",64032474,1596543142
